route_id,agency_id,route_short_name,route_long_name,route_desc,route_type,route_url,route_color,route_text_color
H,SH,Broad-Erie to Cheltenham-Ogontz-H,,3,,FFFFFF,000000
J,SJ,Chelten-Wisshkn to Richmond-Orthodx,,3,,FFFFFF,000000
K,SK,Ridge-Midvale to Arrott TC,,3,,FFFFFF,000000
L,SL,ChestnutHill/PlymouthMtgMall to OTC,,3,,000000,FFFFFF
LUCYGO,SLUCYGO,Gold Loop through University City,,3,,FFFFFF,000000
LUCYGR,SEPTA,LUCYGR,Green Loop through University City,,3,,FFFFFF,000000
MFL,SEPTA,MFL,Market-Frankford Line,,1,,0097D6,FFFFFF
MFO,SEPTA,MFO,Midnight-5am Service (Bus) for MFL,,3,,FFFFFF,000000
NHSL,SEPTA,NHSL,Norristown High Speed Line,,1,,5F249F,FFFFFF
R,SEPTA,R,Henry-Mid or WissTC to FrankfordTC,,3,,000000,FFFFFF
XH,SEPTA,XH,Broad-Erie to Cheltenham-Ogontz-XH,,3,,FFFFFF,000000
